DateTime,AddedIPs,RemovedIPs
1470339508,2560,2560
1470341854,2048,2048
1470343107,2816,2816
1470345440,2816,2816
1470346734,2304,2304
1470348537,3072,3072
1470350301,2560,2560
1470352674,3072,3072
1470353900,2816,2816
1470355700,3328,3328
1470357516,4096,4096
1470359336,3840,3840
1470361115,3072,3072
1470363579,2816,2816
1470364700,3328,3328
1470367149,3328,3328
1470368302,2816,2816
1470370771,2816,2816
1470371909,3072,3072
1470374370,2560,2560
1470375505,2816,2816
1470377801,2560,2560
1470379117,3328,3328
1470381586,2304,2304
1470382700,2560,2560
1470385036,3584,3584
1470386302,3584,3584
1470388100,3584,3584
1470389897,3840,3840
1470392345,2816,2816
1470393498,3584,3584
1470395326,2816,2816
1470397130,3328,3328
1470398956,3328,3328
1470400710,3584,3584
1470403022,3584,3584
1470404297,2560,2560
1470406108,2816,2816
1470407900,2816,2816
1470410227,2560,2560
1470411501,2560,2560
1470413870,2816,2816
1470415099,2560,2560
1470417430,3072,3072
1470418710,2304,2304
1470420517,2560,2560
1470422340,2560,2560
1470424642,1792,1792
1470425928,1280,1280
1470428266,2048,2048
1470429503,2048,2048
1470431895,2048,2048
1470433109,2816,2816
1470434899,2560,2560
1470436700,3328,3328
1470438504,3584,3584
1470440307,3584,3584
1470442104,3072,3072
1470443902,3840,3840
1470446371,3072,3072
1470447501,2048,2048
1470449912,2304,2304
1470451101,2560,2560
1470453466,2816,2816
1470454702,3584,3584
1470456534,3584,3584
1470458309,4096,4096
1470460709,3584,3584
1470461904,3328,3328
1470464331,3328,3328
1470465602,3584,3584
1470467295,3584,3584
1470469104,2560,2560
1470471423,3072,3072
1470472704,3840,3840
1470474501,3840,3840
1470476297,2816,2816
1470478766,3328,3328
1470479900,3584,3584
1470481707,2560,2560
1470483511,2816,2816
1470485843,2816,2816
1470487105,2560,2560
1470489424,2560,2560
1470490742,2304,2304
1470492502,3840,3840
1470494306,3840,3840
1470496695,3584,3584
1470497911,3328,3328
1470500310,3328,3328
1470501514,3840,3840
1470503850,3584,3584
1470505101,3328,3328
1470506947,3840,3840
1470508835,3584,3584
1470510590,3072,3072
1470512308,3072,3072
1470514641,3328,3328
1470515912,3072,3072
1470518282,3072,3072
1470519634,3840,3840
1470521535,3072,3072
1470522713,3072,3072
1470525508,2816,2816
1470526866,3072,3072
1470528680,2816,2816
1470529311,256,256
1470529774,256,256
1470530416,3584,3584
1470532757,3840,3840
1470533913,3840,3840
1470534907,256,256
1470536251,2560,2560
1470537618,3584,3584
1470539466,3840,3840
1470541289,3328,3328
1470543561,3328,3328
1470544880,2816,2816
1470547115,3328,3328
1470548487,2560,2560
1470550617,2560,2560
1470552013,3328,3328
1470554354,3840,3840
1470555588,3584,3584
1470557802,3072,3072
1470559289,3840,3840
1470561080,3072,3072
1470562698,3072,3072
1470564501,2560,2560
1470566420,3584,3584
1470568376,3072,3072
1470570100,2304,2304
1470571727,2816,2816
1470573509,4352,4352
1470575823,4608,4608
1470577096,3328,3328
1470578897,3840,3840
1470580714,3840,3840
1470583184,3840,3840
1470584295,2816,2816
1470586624,3072,3072
1470587997,2816,2816
1470589831,3840,3840
1470591608,3328,3328
1470593415,3072,3072
1470595285,2816,2816
1470596554,2560,2560
1470598866,2816,2816
1470600510,3072,3072
1470602509,3072,3072
1470604651,3072,3072
1470606078,3584,3584
1470607698,3072,3072
1470609870,3328,3328
1470611416,2816,2816
1470613281,2816,2816
1470614993,3584,3584
1470616265,3840,3840
1470619174,3584,3584
1470620318,3328,3328
1470622096,3328,3328
1470624084,3584,3584
1470625859,3328,3328
1470627772,2816,2816
1470629941,3328,3328
1470631111,3584,3584
1470633092,3840,3840
1470634712,3072,3072
1470637025,3584,3584
1470638423,3072,3072
1470640211,3584,3584
1470641108,256,256
1470641912,3840,3840
1470644271,3584,3584
1470645671,3072,3072
1470647298,3584,3584
1470649271,3328,3328
1470651460,2816,2816
1470652909,3584,3584
1470654514,3584,3584
1470656436,2816,2816
1470658535,3840,3840
1470659919,4096,4096
1470662349,3840,3840
1470663509,3328,3328
1470665305,3584,3584
1470666720,3328,3328
1470669552,3072,3072
1470670711,2304,2304
1470672506,3072,3072
1470674305,4096,4096
1470676104,3840,3840
1470677905,2816,2816
1470680351,2048,2048
1470681520,3328,3328
1470683301,2560,2560
1470684806,2560,2560
1470687550,2048,2048
1470688707,2304,2304
1470690539,2816,2816
1470692303,2560,2560
1470694102,2304,2304
1470695905,3584,3584
1470697712,3328,3328
1470699506,2816,2816
1470700418,256,256
1470701305,2560,2560
1470703110,4352,4352
1470703999,256,256
1470704900,3840,3840
1470706794,2816,2816
1470707610,256,256
1470708508,2816,2816
1470710315,3584,3584
1470712095,3840,3840
1470713900,2560,2560
1470716315,3328,3328
1470717507,3584,3584
1470719308,3840,3840
1470721108,3328,3328
1470723446,2560,2560
1470724700,3328,3328
1470726553,2816,2816
1470728314,2304,2304
1470730597,3328,3328
1470732023,3072,3072
1470733755,2816,2816
1470735508,3072,3072
1470737951,2048,2048
1470739212,2816,2816
1470740897,3072,3072
1470742738,3072,3072
1470745030,3072,3072
1470746359,3584,3584
1470748630,3840,3840
1470749908,2560,2560
1470751695,2048,2048
1470753506,3840,3840
1470755812,3584,3584
1470757118,2560,2560
1470758972,2816,2816
1470760722,4096,4096
1470762498,3840,3840
1470764298,3584,3584
1470766651,3584,3584
1470767896,3840,3840
1470769700,3328,3328
1470771502,3072,3072
1470773836,3328,3328
1470775100,4096,4096
1470776000,256,256
1470776899,4096,4096
1470778707,2816,2816
1470780500,2816,2816
1470781400,256,256
1470782302,3840,3840
1470783200,256,256
1470784101,3584,3584
1470785908,3584,3584
1470788400,3584,3584
1470789497,3584,3584
1470791306,3840,3840
1470793106,3072,3072
1470794929,3584,3584
1470796701,4096,4096
1470797596,1024,1024
1470799138,4096,4096
1470800299,3584,3584
1470802784,3840,3840
1470803905,4608,4608
1470805698,4864,4864
1470807505,4352,4352
1470809864,4096,4096
1470811102,4608,4608
1470811999,768,768
1470812911,4608,4608
