DateTime,AddedIPs,RemovedIPs
1470620703,96,24
1470622437,204,46
1470623703,149,65
1470624602,96,20
1470625502,115,43
1470626403,98,0
1470627303,94,74
1470628873,126,62
1470629642,67,0
1470630603,110,62
1470631502,91,30
1470633242,258,52
1470634203,96,64
1470635102,89,25
1470636303,91,59
1470637203,99,5
1470638062,99,74
1470638523,60,34
1470639903,131,52
1470640803,106,1
1470641283,47,0
1470642962,199,119
1470643803,90,58
1470645004,126,61
1470645904,114,27
1470648003,232,57
1470648847,106,89
1470649667,146,35
1470651503,371,71
1470652803,186,93
1470654303,288,59
1470655203,176,0
1470656006,186,71
1470657615,273,66
1470658443,129,0
1470659403,140,81
1470661363,324,88
1470662335,173,0
1470663303,347,97
1470664202,205,30
1470665404,86,58
1470666350,140,0
1470667203,93,91
1470668016,102,0
1470669198,94,59
1470670203,69,82
1470671703,83,20
1470672843,59,51
1470673683,42,0
1470674703,59,95
1470676803,119,89
1470677721,56,73
1470678125,33,20
1470678962,55,2
1470679803,58,45
1470680043,22,0
1470681003,83,61
1470682135,106,32
1470684002,106,56
1470685323,87,144
1470686414,48,69
1470687291,37,0
1470688152,38,54
1470689103,47,14
1470689994,52,44
1470690843,58,3
1470691818,51,49
1470692726,44,12
1470694503,119,57
1470695403,68,66
1470696303,66,20
1470697503,61,58
1470698404,44,0
1470698883,23,0
1470700483,70,89
1470701600,60,39
1470702603,41,50
1470703323,38,19
1470704347,51,19
1470705243,51,9
1470706203,44,54
1470707102,50,25
1470707763,25,0
1470708602,53,40
1470709495,56,2
1470710703,83,76
1470711871,59,75
1470712803,57,0
1470713703,50,74
1470714124,19,32
1470715502,66,45
1470716405,34,0
1470717299,56,68
1470717723,28,25
1470718920,53,50
1470720002,59,0
1470720903,54,70
1470721781,40,31
1470722692,40,49
1470723524,88,0
1470724803,87,299
1470726199,133,168
1470727099,43,0
1470728522,74,382
1470729806,82,173
1470730804,50,0
1470732003,71,101
1470733432,288,51
1470734271,178,0
1470735546,311,71
1470736528,170,20
1470736815,68,70
1470737643,174,3
1470738506,176,0
1470740366,262,132
1470741304,101,7
1470742203,118,84
1470743026,75,23
1470744303,318,53
1470745204,154,0
1470745683,51,0
1470749024,217,134
1470750003,177,95
1470750903,185,0
1470751803,175,37
1470752882,237,1
1470753903,194,84
1470756003,455,58
1470756482,97,2
1470758007,160,105
1470760083,115,46
1470760923,72,102
1470762843,191,50
1470763683,106,0
1470765363,188,104
1470766203,70,62
1470766443,26,0
1470767403,91,85
1470768303,65,61
1470769712,64,182
1470770574,49,0
1470771903,76,377
1470773140,67,195
1470774003,52,1
1470774799,82,260
1470775883,258,100
1470776703,170,229
1470777604,185,0
1470778803,264,368
1470780303,121,228
1470781202,36,0
1470782062,45,280
1470783122,57,83
1470785228,120,127
1470786303,78,259
1470787267,59,139
1470788043,36,0
1470789003,43,207
1470789903,43,72
1470791403,60,187
1470793323,99,320
