DateTime,Entries,UniqueIPs
1470354260,25427,25520
1470354982,25438,25531
1470355716,25430,25523
1470356414,25428,25521
1470357163,25430,25523
1470357851,25434,25527
1470358580,25429,25522
1470359300,25433,25526
1470360019,25435,25528
1470360759,25429,25522
1470361447,25426,25519
1470362186,25433,25526
1470362897,25433,25526
1470363637,25429,25522
1470364347,25432,25525
1470365063,25431,25524
1470365783,25429,25522
1470366499,25428,25521
1470367237,25422,25515
1470367949,25421,25514
1470368651,25424,25517
1470369666,25422,25516
1470370605,25421,25515
1470371301,25419,25513
1470372035,25420,25514
1470372746,25422,25516
1470373469,25425,25519
1470374182,25421,25515
1470374905,25421,25515
1470375623,25422,25516
1470376347,25419,25513
1470377056,25421,25515
1470377793,25415,25509
1470378500,25418,25512
1470379229,25420,25514
1470379954,25418,25512
1470380659,25418,25512
1470381378,25422,25516
1470382109,25426,25520
1470382825,25426,25520
1470383545,25424,25517
1470384254,25424,25517
1470384996,25423,25517
1470385701,25422,25515
1470386421,25423,25516
1470387139,25418,25511
1470387860,25418,25511
1470388582,25420,25513
1470389319,25419,25512
1470390015,25416,25509
1470390742,25416,25509
1470391458,25417,25510
1470392191,25414,25507
1470392957,25416,25509
1470393616,25409,25502
1470394348,25405,25498
1470395082,25407,25500
1470395789,25402,25495
1470396495,25400,25493
1470397227,25398,25491
1470397944,25405,25497
1470398660,25406,25498
1470399397,25415,25507
1470400102,25409,25501
1470400849,25411,25503
1470401536,25407,25499
1470402262,25411,25503
1470402985,25411,25502
1470403703,25409,25500
1470404426,25416,25507
1470405156,25415,25506
1470405854,25411,25502
1470406605,25415,25506
1470407302,25416,25507
1470408041,25412,25503
1470408767,25410,25501
1470409506,25408,25499
1470410221,25420,25511
1470410917,25410,25501
1470411613,25423,25514
1470412369,25419,25509
1470413064,25421,25511
1470413808,25423,25513
1470414505,25426,25516
1470415234,25425,25515
1470415960,25427,25517
1470416653,25423,25513
1470417381,25419,25509
1470418099,25406,25496
1470418847,25396,25486
1470419547,25395,25485
1470420259,25397,25487
1470420984,25403,25493
1470421705,25401,25491
1470422417,25402,25491
1470423154,25402,25491
1470423863,25395,25484
1470424579,25403,25492
1470425293,25402,25491
1470426026,25396,25485
1470426746,25397,25486
1470427460,25400,25489
1470428176,25399,25488
1470428940,25400,25489
1470429652,25395,25484
1470430347,25399,25488
1470431056,25380,25469
1470431774,25388,25477
1470432506,25378,25467
1470433223,25381,25470
1470433952,25364,25453
1470434658,25368,25457
1470435393,25369,25458
1470436126,25367,25456
1470436826,25372,25461
1470437809,25368,25457
1470438492,25368,25457
1470439227,25372,25461
1470439947,25373,25462
1470440662,25363,25452
1470441372,25367,25456
1470442098,25361,25450
1470442846,25357,25446
1470443551,25361,25450
1470444264,25359,25448
1470444982,25359,25448
1470445700,25357,25446
1470446425,25357,25446
1470447152,25349,25438
1470447864,25346,25435
1470448573,25342,25431
1470449296,25344,25433
1470450036,25343,25432
1470450749,25348,25437
1470451454,25344,25433
1470452183,25348,25437
1470452899,25352,25441
1470453628,25350,25439
1470454350,25346,25435
1470455055,25348,25437
1470455776,25350,25439
1470456510,25345,25434
1470457212,25341,25430
1470457952,25337,25426
1470458648,25335,25424
1470459390,25332,25421
1470460108,25337,25426
1470460830,25333,25422
1470461549,25329,25418
1470462253,25331,25420
1470462984,25326,25415
1470463706,25324,25413
1470464423,25332,25421
1470465164,25330,25419
1470465862,25326,25415
1470466586,25320,25409
1470467299,25318,25407
1470468029,25320,25409
1470468750,25319,25410
1470469451,25323,25414
1470470176,25324,25415
1470470908,25321,25412
1470471626,25321,25412
1470472351,25320,25411
1470473073,25322,25413
1470473792,25325,25416
1470474497,25328,25419
1470475231,25326,25417
1470475945,25327,25418
1470476654,25328,25419
1470477382,25328,25419
1470478100,25329,25420
1470478828,25327,25418
1470479568,25330,25421
1470480250,25330,25421
1470480993,25333,25424
1470481711,25328,25419
1470482423,25329,25420
1470483138,25327,25418
1470483864,25323,25414
1470484583,25326,25417
1470485311,25324,25415
1470486020,25323,25414
1470486740,25322,25413
1470487449,25318,25409
1470488201,25319,25410
1470488923,25320,25411
1470489614,25320,25411
1470490353,25319,25410
1470491056,25318,25409
1470491786,25320,25411
1470492512,25321,25412
1470493241,25322,25413
1470493942,25329,25420
1470494654,25329,25420
1470495392,25313,25404
1470496117,25315,25406
1470496815,25320,25411
1470497562,25321,25412
1470498251,25322,25413
1470498978,25309,25401
1470499699,25313,25405
1470500427,25301,25393
1470501149,25304,25396
1470501864,25302,25394
1470502590,25307,25399
1470503303,25302,25394
1470504022,25307,25399
1470504760,25299,25391
1470505451,25303,25395
1470506188,25286,25378
1470506904,25284,25376
1470507624,25285,25377
1470508338,25296,25388
1470509054,25291,25383
1470509794,25285,25377
1470510509,25285,25377
1470511218,25290,25382
1470511957,25281,25373
1470512652,25284,25376
1470513392,25283,25375
1470514113,25279,25371
1470514816,25280,25372
1470515540,25276,25368
1470516264,25275,25367
1470516978,25281,25373
1470517701,25278,25370
1470518425,25267,25359
1470519144,25267,25359
1470519849,25259,25351
1470520590,25254,25346
1470521310,25250,25342
1470522037,25246,25338
1470522743,25248,25340
1470523456,25246,25338
1470524182,25247,25339
1470524896,25240,25332
1470525621,25231,25323
1470526341,25225,25317
1470527061,25225,25317
1470527783,25222,25314
1470528515,25221,25313
1470529225,25215,25307
1470529952,25213,25305
1470530649,25210,25302
1470531378,25209,25301
1470532104,25209,25301
1470532827,25210,25302
1470533550,25207,25299
1470534257,25212,25304
1470535003,25207,25299
1470535704,25205,25297
1470536439,25206,25298
1470537147,25207,25299
1470537866,25206,25298
1470538595,25207,25299
1470539309,25209,25301
1470540053,25211,25303
1470541004,25213,25304
1470541708,25218,25309
1470542437,25216,25307
1470543136,25214,25305
1470543855,25214,25305
1470544574,25212,25303
1470545304,25211,25302
1470546049,25208,25299
1470546759,25206,25297
1470547449,25200,25291
1470548179,25195,25286
1470548899,25195,25286
1470549677,25195,25286
1470550346,25196,25287
1470551050,25198,25289
1470551792,25195,25286
1470552514,25189,25280
1470553250,25192,25283
1470553946,25192,25283
1470554648,25192,25283
1470555393,25189,25280
1470556106,25190,25281
1470556839,25189,25280
1470557536,25189,25280
1470558258,25194,25285
1470558990,25199,25290
1470559940,25195,25286
1470560657,25197,25288
1470561384,25197,25288
1470562108,25190,25281
1470562824,25194,25285
1470563555,25193,25284
1470564256,25198,25289
1470564996,25197,25288
1470565694,25200,25291
1470566453,25185,25275
1470567144,25184,25274
1470567861,25184,25274
1470568582,25187,25277
1470569309,25178,25268
1470570014,25181,25271
1470570761,25178,25268
1470571456,25182,25272
1470572186,25182,25272
1470572897,25182,25272
1470573626,25180,25270
1470574348,25182,25272
1470575053,25186,25276
1470575784,25189,25279
1470576512,25187,25278
1470577240,25175,25266
1470577940,25178,25269
1470578660,25177,25268
1470579399,25171,25262
1470580105,25181,25272
1470580816,25179,25270
1470581547,25173,25264
1470582259,25170,25261
1470583003,25173,25264
1470583701,25170,25261
1470584486,25167,25258
1470585148,25170,25261
1470585859,25170,25262
1470586575,25161,25253
1470587307,25162,25254
1470588024,25160,25252
1470588758,25163,25255
1470589460,25159,25251
1470590175,25159,25251
1470590911,25156,25248
1470591627,25153,25245
1470592344,25147,25239
1470593060,25145,25237
1470593774,25148,25240
1470594499,25141,25233
1470595225,25144,25236
1470595941,25140,25232
1470596656,25142,25231
1470597399,25144,25232
1470598100,25148,25236
1470598846,25142,25230
1470599544,25143,25231
1470600261,25137,25225
1470600987,25132,25220
1470601707,25130,25218
1470602423,25131,25219
1470603158,25132,25220
1470603851,25129,25217
1470604581,25130,25218
1470605296,25123,25210
1470606045,25114,25201
1470606740,25109,25196
1470607461,25107,25194
1470608183,25104,25191
1470608906,25105,25191
1470609623,25103,25189
