DateTime,AddedIPs,RemovedIPs
1469934308,0,1
1469936707,1,0
1469937007,15,0
1469937608,21,0
1469937912,5,0
1469941207,23,0
1469944807,15,0
1469945110,7,0
1469948407,21,0
1469948708,8,0
1469949307,0,1
1469952007,22,0
1469955608,18,0
1469955908,13,0
1469956507,0,1
1469957108,0,1
1469958007,0,1
1469959207,16,0
1469959508,15,0
1469962809,14,0
1469963108,11,0
1469966409,16,0
1469966707,16,0
1469970008,20,0
1469970308,3,0
1469971807,4,0
1469973608,15,1
1469973910,24,0
1469974507,0,1
1469976907,5,0
1469977208,12,0
1469977510,38,0
1469977807,2,0
1469978107,1,0
1469980807,6,1
1469981111,41,0
1469984407,11,0
1469984708,30,0
1469988007,10,0
1469988309,37,0
1469990407,0,1
1469991307,0,1
1469991608,3,0
1469991909,50,0
1469995208,9,1
1469995507,40,0
1469996707,0,1
1469998808,7,0
1469999108,45,0
1469999707,0,1
1470000308,0,1
1470001508,0,1
1470002408,12,0
1470002707,24,0
1470003907,0,1
1470006007,5,1
1470006311,36,0
1470009010,0,1
1470009912,40,0
1470013207,14,0
1470013508,15,0
1470013807,8,0
1470014107,11,0
1470014708,12,0
1470015007,7,0
1470015307,1,0
1470015608,7,0
1470015907,3,0
1470016807,12,0
1470017110,17,0
1470018608,0,1
1470020408,17,0
1470024007,14,0
1470027008,0,1
1470027608,9,0
1470031208,14,0
1470034808,15,0
1470038408,17,0
1470040507,0,1
1470042008,3,0
1470042307,17,1
1470045608,9,0
1470045911,26,0
1470049208,10,0
1470049508,14,0
1470052808,6,0
1470053109,34,0
1470056407,5,0
1470056708,33,0
1470060307,50,1
1470061208,0,1
1470061507,0,1
1470062407,0,2
1470063607,0,1
1470063910,55,0
1470067817,48,0
1470070808,6,0
1470071107,33,0
1470071707,0,1
1470072908,3,0
1470073207,1,0
1470074106,0,1
1470074708,65,0
1470076207,0,1
1470078007,1,0
1470078308,55,0
1470081908,48,0
1470085207,4,0
1470085507,35,0
1470086107,0,1
1470086708,0,1
1470089407,48,1
1470090008,0,1
1470091807,0,1
1470092709,49,0
1470096308,40,0
1470098407,0,1
1470099007,3,0
1470099607,4,0
1470099909,26,0
1470103207,11,0
1470103510,10,0
1470106808,9,0
1470107114,16,0
1470110711,12,0
1470112807,0,1
1470114007,11,0
1470114310,3,0
1470117607,10,0
1470117913,10,0
1470121208,2,0
1470121509,16,0
1470124807,12,0
1470125107,4,0
1470128408,4,0
1470128709,25,0
1470129608,0,1
1470131408,0,1
1470132314,37,0
1470135607,6,0
1470135908,21,0
1470139208,0,1
1470139507,32,0
1470141607,0,1
1470143109,34,1
1470145508,0,2
1470146710,29,0
1470150312,36,0
1470153908,52,0
1470157507,53,0
1470161107,43,1
1470164708,47,0
1470168308,50,0
1470171907,48,0
1470172808,0,1
1470173707,0,1
1470175507,31,0
1470176107,0,1
1470176707,0,1
1470179110,27,0
1470182713,30,0
1470186007,1,0
1470186313,29,0
1470186607,13,0
1470186906,3,0
1470189007,0,1
1470189608,7,0
1470189912,8,0
1470191407,0,1
1470191707,0,1
1470193507,35,0
1470196808,7,0
1470197109,7,0
1470200407,4,0
1470200711,15,0
1470204007,4,0
1470204309,16,0
1470207607,4,0
1470207910,12,0
1470208208,0,1
1470208807,0,1
1470211207,3,0
1470211507,18,0
1470215107,27,0
1470217807,0,1
1470218709,25,0
1470222307,27,0
1470222907,0,1
1470225907,35,0
1470229508,26,0
1470230107,0,1
1470233109,31,0
1470236707,41,0
1470240308,36,0
1470243908,39,0
1470246607,0,1
1470247208,0,1
1470247510,47,1
1470249607,0,1
1470250507,0,1
1470251111,48,0
1470254709,43,0
1470258307,26,0
1470258607,0,1
1470260708,3,0
1470261913,31,0
1470263107,0,1
1470263707,0,1
1470264007,0,1
1470265508,31,0
1470267908,0,1
1470269107,43,0
1470272710,34,0
1470273008,0,1
1470276310,19,0
1470278407,0,1
1470279911,16,0
1470282008,0,1
1470283507,16,0
1470286207,0,1
1470286507,0,1
1470287108,16,0
1470290407,3,0
1470290711,4,0
1470291908,0,1
1470294007,1,0
1470294309,8,0
1470297906,24,1
1470300907,0,1
1470301513,28,0
1470305108,27,0
1470308709,37,0
1470312311,30,0
1470314407,0,1
1470315907,45,0
1470319508,39,0
1470323109,45,0
1470323707,0,1
1470324007,0,1
1470326408,0,1
1470326712,39,0
1470327307,0,1
1470330312,49,0
1470330907,0,1
1470332107,0,1
1470332408,0,1
1470333909,50,0
1470337512,31,0
1470341109,44,0
1470344708,44,0
1470345008,0,1
1470345608,8,0
1470346507,51,0
1470346807,1,0
1470348310,48,0
1470351908,29,0
1470355507,26,2
1470359410,29,1
1470362107,0,1
1470362712,22,0
1470366307,21,0
1470368107,0,1
1470369913,23,1
1470373513,12,0
1470377110,12,0
1470379208,0,1
1470380708,11,0
1470381607,0,1
1470384309,15,0
1470384907,0,1
1470385509,0,1
1470386407,0,1
1470387908,29,0
1470391507,28,0
1470395107,32,0
1470398107,0,1
1470398709,34,0
1470401407,0,1
1470402311,34,0
1470405907,51,0
1470409508,41,0
1470411307,0,1
1470411908,0,1
1470413108,60,0
1470415807,0,1
1470416707,45,0
1470419707,0,1
1470420307,29,0
1470420608,0,1
1470421807,0,1
1470422708,0,1
1470423908,32,0
1470427507,44,0
1470429307,14,0
1470429608,8,0
1470431108,45,0
1470431707,7,0
1470433508,6,0
1470434708,32,0
1470435007,0,1
1470438308,40,0
1470441908,33,0
1470444607,3,0
1470445507,39,0
1470447008,4,0
1470449107,33,0
1470449706,0,1
1470451807,0,1
1470452708,27,0
1470455407,0,1
1470456607,14,0
1470459908,25,0
1470463508,8,0
1470465908,1,0
1470466208,0,1
1470467108,13,0
1470470708,26,0
1470474308,26,0
1470475208,0,1
1470477908,24,0
1470478807,0,1
1470481507,27,0
1470485108,35,0
1470489015,42,0
1470490208,7,0
1470490807,3,0
1470492307,44,0
1470492907,0,1
1470495907,52,0
1470496507,0,1
1470499507,44,0
1470503107,31,0
1470506708,39,1
1470507908,0,1
1470510607,43,3
1470512708,0,1
1470513908,37,0
1470514808,0,1
1470517207,0,1
1470517507,36,0
1470518409,0,1
1470521107,29,0
1470521407,0,1
1470524707,35,0
1470528308,31,0
1470531907,24,0
1470534606,0,1
1470535507,48,0
1470539108,29,0
1470542708,10,0
1470546308,19,0
1470549907,25,0
1470553507,21,0
1470557107,19,0
1470560708,39,3
1470562207,0,1
1470562808,0,1
1470564307,33,0
1470567908,31,0
1470571508,47,0
1470575107,34,0
1470577807,0,1
1470578708,32,0
1470581708,0,1
1470582307,45,0
1470585907,40,0
1470589507,49,0
1470591608,0,2
1470593120,50,0
1470594307,0,1
1470596407,0,1
1470596708,42,0
1470597307,9,0
1470600308,37,0
1470600907,0,1
1470602407,0,1
1470603007,1,0
1470603907,28,0
1470606908,0,1
1470607508,36,0
1470611108,42,0
1470611407,0,1
1470612907,0,1
1470614707,46,0
1470618308,22,0
1470621907,20,0
1470625508,26,0
1470627007,0,1
1470629107,20,0
1470632707,13,0
