DateTime,Entries,UniqueIPs
1470306756,48,48
1470308662,50,50
1470310589,48,48
1470312501,55,55
1470314421,46,46
1470316342,41,41
1470318255,54,54
1470320175,48,48
1470322135,51,51
1470324014,43,43
1470325982,40,40
1470327878,47,47
1470329792,45,45
1470331704,45,45
1470333652,51,51
1470335552,50,50
1470337469,51,51
1470339421,57,57
1470341308,50,50
1470343216,55,55
1470345143,47,47
1470347053,49,49
1470348980,31,31
1470350898,37,37
1470352841,47,47
1470354748,57,57
1470356662,35,35
1470358577,54,54
1470360499,54,54
1470362448,50,50
1470364344,48,48
1470366264,53,53
1470368193,28,28
1470370098,41,41
1470372032,40,40
1470373954,60,60
1470375872,52,52
1470377789,44,44
1470379713,62,62
1470381624,65,65
1470383542,33,33
1470385455,57,57
1470387396,28,28
1470389316,54,54
1470391269,50,50
1470393162,54,54
1470395079,52,52
1470396976,49,49
1470398908,58,58
1470400845,62,62
1470402745,59,59
1470404655,62,62
1470406601,52,52
1470408512,64,64
1470410438,49,49
1470412366,51,51
1470414255,59,59
1470416171,49,49
1470418096,61,61
1470420045,42,42
1470421945,56,56
1470423860,53,53
1470425781,60,60
1470427697,62,62
1470429648,49,49
1470431587,59,59
1470433463,49,49
1470435390,21,21
1470437308,56,56
1470439224,46,46
1470441151,54,54
1470443066,42,42
1470444979,41,41
1470446904,56,56
1470448866,51,51
1470450747,51,51
1470452654,55,55
1470454575,48,48
1470456507,52,52
1470458436,45,45
1470460354,61,61
1470462250,54,54
1470464195,60,60
1470466110,49,49
1470468026,56,56
1470469947,54,54
1470471855,57,57
1470473789,57,57
1470475704,69,69
1470477645,51,51
1470479564,47,47
1470481461,51,51
1470483393,59,59
1470485307,48,48
1470487221,63,63
1470489403,50,50
1470491307,57,57
1470493238,57,57
1470495145,46,46
1470497052,44,44
1470498974,55,55
1470500902,55,55
1470502841,52,52
1470504757,59,59
1470506658,52,52
1470508590,52,52
1470510506,48,48
1470512416,48,48
1470514347,51,51
1470516261,56,56
1470518188,60,60
1470520107,59,59
1470522034,51,51
1470523950,55,55
1470525846,61,61
1470527780,66,66
1470529691,59,59
1470531638,68,68
1470533546,64,64
1470535459,67,67
1470537392,62,62
1470539306,65,65
1470541464,49,49
1470543387,56,56
1470545300,51,51
1470547230,65,65
1470549148,56,56
1470551047,66,66
1470552984,52,52
1470554904,51,51
1470556835,56,56
1470558737,51,51
1470560654,60,60
1470562580,52,52
1470564498,50,50
1470566450,52,52
1470568347,51,51
1470570258,56,56
1470572183,41,41
1470574093,48,48
1470576012,52,52
1470577937,46,46
1470579847,49,49
1470581780,51,51
1470583698,51,51
1470585643,50,50
1470587537,51,51
1470589457,38,38
1470591376,50,50
1470593292,52,52
1470595221,53,53
1470597137,58,58
1470599053,55,55
1470600984,47,47
1470602902,50,50
1470604818,50,50
1470606737,62,62
1470608646,37,37
1470610583,57,57
1470612496,57,57
1470614439,42,42
1470616357,54,54
1470618269,44,44
1470620176,52,52
1470622092,53,53
1470624013,51,51
1470625935,50,50
1470627848,63,63
1470629780,45,45
1470631965,57,57
1470633847,56,56
1470635783,52,52
1470637699,56,56
1470639641,51,51
1470641536,53,53
1470643458,50,50
1470645384,51,51
1470647297,50,50
1470649221,58,58
1470651146,11,11
1470653052,47,47
